SAMPLE	VENT	SITE	Sample_or_Control	SAMPLETYPE	DEPTH	temp
56_MCR_Piccard_expTf_Plume_0_5_Jun2021	Plume	Piccard	Sample	Incubation	NA	NA
57_MCR_Piccard_expTf_Shrimpocalypse_0_0_Jun2021	Shrimpocalypse	Piccard	Sample	Incubation	NA	NA
74_MCR_Piccard_CTD_Plume_CTD004_5_Jun2021	Plume	Piccard	Sample	Plume	4944	4.46
68_MCR_Piccard_HOG_LotsOShrimp_J21242HOG14_0_Jun2021	LotsOShrimp	Piccard	Sample	Vent	4967	19
77_MCR_Piccard_HOG_Shrimpocalypse_J21240HOG14_0_Jun2021	Shrimpocalypse	Piccard	Sample	Vent	4945	85
78_MCR_Piccard_HOG_LotsOShrimp_J21241HOG14_0_Jun2021	LotsOShrimp	Piccard	Sample	Vent	4967	36
100_GR_substrate_MC3_Quartz2_6_0_Jun2021	Quartz2	substrate	Sample	Microcolonizer	NA	NA
101_GR_substrate_MC3_Riftia_6_0_Jun2021	Riftia	substrate	Sample	Microcolonizer	NA	NA
102_GR_substrate_MC3_Shell_6_5_Jun2021	Shell	substrate	Sample	Microcolonizer	NA	NA
81_AAAGTT_S16	Quartz2	substrate	Control	Microcolonizer	NA	NA
82_CGTGCA_S17	Riftia	substrate	Control	Microcolonizer	NA	NA
83_CCGAAC_S18	Shell	substrate	Control	Microcolonizer	NA	NA
84_GR_substrate_MC1_Quartz2_7_0_Jun2021	Quartz2	substrate	Sample	Microcolonizer	NA	NA
85_GR_substrate_MC1_Riftia_7_0_Jun2021	Riftia	substrate	Sample	Microcolonizer	NA	NA
86_GR_substrate_MC1_Shell_7_5_Jun2021	Shell	substrate	Sample	Microcolonizer	NA	NA
87_GR_substrate_MC4_Quartz2_7_0_Jun2021	Quartz2	substrate	Sample	Microcolonizer	NA	NA
88_GR_substrate_MC4_Riftia_7_0_Jun2021	Riftia	substrate	Sample	Microcolonizer	NA	NA
89_GR_substrate_MC4_Shell_7_5_Jun2021	Shell	substrate	Sample	Microcolonizer	NA	NA
90_GR_substrate_MC5_Quartz2_8_0_Jun2021	Quartz2	substrate	Sample	Microcolonizer	NA	NA
91_GR_substrate_MC5_Riftia_8_0_Jun2021	Riftia	substrate	Sample	Microcolonizer	NA	NA
92_GR_substrate_MC5_Shell_8_5_Jun2021	Shell	substrate	Sample	Microcolonizer	NA	NA
93_GR_substrate_MC6_Quartz2_8_0_Jun2021	Quartz2	substrate	Sample	Microcolonizer	NA	NA
94_GR_substrate_MC6_Riftia_8_0_Jun2021	Riftia	substrate	Sample	Microcolonizer	NA	NA
95_GR_substrate_MC6_Shell_8_5_Jun2021	Shell	substrate	Sample	Microcolonizer	NA	NA
96_GGCGAC_S19	blank	substrate	Control	Microcolonizer	NA	NA
97_GR_substrate_MC2_Quartz2_6_0_Jun2021	Quartz2	substrate	Sample	Microcolonizer	NA	NA
98_GR_substrate_MC2_Riftia_6_0_Jun2021	Riftia	substrate	Sample	Microcolonizer	NA	NA
99_GR_substrate_MC2_Shell_6_5_Jun2021	Shell	substrate	Sample	Microcolonizer	NA	NA
63_MCR_VonDamm_CTD_BSW_CTD002_0_Jun2021	BSW	VonDamm	Sample	Background	2400	4.181
54_MCR_VonDamm_expTf_MustardStand_0_0_Jun2021	MustardStand	VonDamm	Sample	Incubation	NA	NA
55_MCR_VonDamm_expTf_ShrimpHole_0_0_Jun2021	ShrimpHole	VonDamm	Sample	Incubation	NA	NA
58_MCR_VonDamm_expTf_Plume_0_0_Jun2021	Plume	VonDamm	Sample	Incubation	NA	NA
59_MCR_VonDamm_expTf_X18_0_0_Jun2021	X18	VonDamm	Sample	Incubation	NA	NA
60_MCR_VonDamm_expTf_BSW_0_0_Jun2021	BSW	VonDamm	Sample	Incubation	NA	NA
61_MCR_VonDamm_expTf_Rav2_0_0_Jun2021	Rav2	VonDamm	Sample	Incubation	NA	NA
65_MCR_VonDamm_CTD_Plume_CTD003_0_Jun2021	Plume	VonDamm	Sample	Plume	1979	4.208
66_MCR_VonDamm_HOG_ArrowLoop_J21243HOG18_5_Jun2021	ArrowLoop	VonDamm	Sample	Vent	2309	137
67_MCR_VonDamm_HOG_WhiteCastle_J21235HOG12_5_Jun2021	WhiteCastle	VonDamm	Sample	Vent	2307	108
69_MCR_VonDamm_HOG_MustardStand_J21243HOG14_5_Jun2021	MustardStand	VonDamm	Sample	Vent	2374	108
70_MCR_VonDamm_HOG_Rav2_J21238HOG14_5_Jun2021	Rav2	VonDamm	Sample	Vent	2389.6	94
71_MCR_VonDamm_HOG_OldManTree_J21238HOG20_5_Jun2021	OldManTree	VonDamm	Sample	Vent	2375.8	121.6
72_MCR_VonDamm_HOG_ShrimpHole_J21244HOG18_0_Jun2021	ShrimpHole	VonDamm	Sample	Vent	2376	21
76_MCR_VonDamm_HOG_X18_J21235HOG20_0_Jun2021	X18	VonDamm	Sample	Vent	2377	48
79_MCR_VonDamm_HOG_Bartizan_J21244HOG12_5_Jun2021	Bartizan	VonDamm	Sample	Vent	2307	129
80_MCR_VonDamm_HOG_Rav2_J21244HOG20_0_Jun2021	Rav2	VonDamm	Sample	Vent	2388.9	98.2
